ANO_ELEICAO,SIGLA_UF,NOME_MUNICIPIO,NOME_CANDIDATO,SIGLA_PARTIDO,NUMERO_CAND,TOTAL_VOTOS
2014,MG,BELO HORIZONTE,FRANCISCO DE ASSIS MACIEL,PT,1366,1125
2014,MG,BELO HORIZONTE,FRANCISCO PANADES RUBIO,PPL,5454,1183
2014,MG,BELO HORIZONTE,FRANKLIN ROBERTO DE LIMA SOUZA,PT do B,7012,6101
2014,MG,BELO HORIZONTE,FREDERICO FIALHO DE SIQUEIRA,PCB,2199,20
2014,MG,BELO HORIZONTE,GABRIEL GUIMARAES DE ANDRADE,PT,1311,21814
2014,MG,BELO HORIZONTE,GABRIELA ROSA DOS SANTOS,PHS,3113,83
2014,MG,BELO HORIZONTE,GEORGE HILTON DOS SANTOS CECILIO,PRB,1010,33343
2014,MG,BELO HORIZONTE,GERALDO DE SOUZA GONCALVES,PDT,1290,1164
2014,MG,BELO HORIZONTE,GERALDO DIAS AMADOR,PPL,5410,77
2014,MG,BELO HORIZONTE,GERALDO FELIPE DA SILVA,PPL,5477,71
2014,MG,BELO HORIZONTE,GERALDO HILARIO TORRES,PT do B,7000,839
2014,MG,BELO HORIZONTE,GERALDO MAGELO AUDRIANO,PTC,3637,85
2014,MG,BELO HORIZONTE,GERALDO SEBASTIAO MAGELA DIAS,PSB,4008,9150
2014,MG,BELO HORIZONTE,GERALDO SILVERIO BASTOS,PCB,2111,35
2014,MG,BELO HORIZONTE,GERALDO THADEU PEDREIRA DOS SANTOS,PSD,5540,130
2014,MG,BELO HORIZONTE,GEZIEL RAMOS SILVA,PEN,5122,11
2014,MG,BELO HORIZONTE,GILBERTO ADENIE CUNHA,PSTU,1606,8
2014,MG,BELO HORIZONTE,GILBERTO BERNAL JUNIOR,PMN,3335,73
2014,MG,BELO HORIZONTE,GILBERTO PIRES OLIVEIRA,PSC,2016,11
2014,MG,BELO HORIZONTE,GILBERTO SILVA,PMN,3366,19
2014,MG,BELO HORIZONTE,GILSON DE CARVALHO QUEIROZ FILHO,PT,1377,5217
2014,MG,BELO HORIZONTE,GIOVANE FARINAZZO GAVIO,PSDB,4533,11957
2014,MG,BELO HORIZONTE,GIOVANI BATISTA GIMENES,PTN,1980,127
2014,MG,BELO HORIZONTE,GIRLEUSA FERREIRA DE SOUSA,PMDB,1545,77
2014,MG,BELO HORIZONTE,GLEIBE JOSE TERRA,PSB,4033,204
2014,MG,BELO HORIZONTE,GLEISER LUCIO BORONI SOARES,PSL,1700,782
2014,MG,BELO HORIZONTE,GREYCE DE QUEIROZ ELIAS,PRB,1011,123
2014,MG,BELO HORIZONTE,GUSTAVO CESAR ALKIMIN LOPES DE OLIVEIRA,PSB,4080,2389
2014,MG,BELO HORIZONTE,GUSTAVO DA SILVA PIRES,PROS,9090,3796
2014,MG,BELO HORIZONTE,GUSTAVO HENRIQUE PERRELLA AMARAL COSTA,SD,7745,2989
2014,MG,BELO HORIZONTE,GUSTAVO MARQUES CARVALHO MITRE,PHS,3100,3942
2014,MG,BELO HORIZONTE,GUSTAVO OLIMPIO SIQUEIRA ROCHA,PSTU,1601,296
2014,MG,BELO HORIZONTE,HELDER DA CUNHA EVANGELISTA,PPL,5432,35
2014,MG,BELO HORIZONTE,HELENA LUCIA DOS SANTOS,PT do B,7004,300
2014,MG,BELO HORIZONTE,HELENICE CUNHA DE LIMA,PSC,2077,177
2014,MG,BELO HORIZONTE,HELGA GREINER CORREA DE OLIVEIRA,PSDC,2712,53
2014,MG,BELO HORIZONTE,HELIO COSTA DE CAMPOS MELLO,PMDB,1513,346
2014,MG,BELO HORIZONTE,HELIO PEREIRA LEITAO,PTN,1953,61
2014,MG,BELO HORIZONTE,HELVECIO ANTONIO DE BRITO,PT do B,7036,21
2014,MG,BELO HORIZONTE,HELY COELHO DA SILVA,PPS,2350,30
2014,MG,BELO HORIZONTE,HENRIQUE BARRETO DOS SANTOS,PSB,4099,503
2014,MG,BELO HORIZONTE,HERBERT AUGUSTO DA SILVA,PDT,1236,256
2014,MG,BELO HORIZONTE,HUENDER FRANCO DIAS,PSTU,1633,17
2014,MG,BELO HORIZONTE,HUMBERTO GUIMARAES SOUTO,PPS,2360,614
2014,MG,BELO HORIZONTE,IARA MARTINS MORAIS,PTB,1489,26
